canal,iso3,delay_USD_piracy,lost_USD_piracy,revenue_USD_piracy,reroute_USD_piracy,war_premium_USD_piracy,shipping_price_USD_piracy,total_loss_USD_piracy,delay_USD_geopolitical,lost_USD_geopolitical,revenue_USD_geopolitical,reroute_USD_geopolitical,war_premium_USD_geopolitical,shipping_price_USD_geopolitical,total_loss_USD_geopolitical,delay_USD_blockage,lost_USD_blockage,revenue_USD_blockage,reroute_USD_blockage,war_premium_USD_blockage,shipping_price_USD_blockage,total_loss_USD_blockage,delay_USD_drought,lost_USD_drought,revenue_USD_drought,reroute_USD_drought,war_premium_USD_drought,shipping_price_USD_drought,total_loss_USD_drought,delay_USD_EQ,lost_USD_EQ,revenue_USD_EQ,reroute_USD_EQ,war_premium_USD_EQ,shipping_price_USD_EQ,total_loss_USD_EQ,delay_USD_TC,lost_USD_TC,revenue_USD_TC,reroute_USD_TC,war_premium_USD_TC,shipping_price_USD_TC,total_loss_USD_TC,delay_USD_terrorist,lost_USD_terrorist,revenue_USD_terrorist,reroute_USD_terrorist,war_premium_USD_terrorist,shipping_price_USD_terrorist,total_loss_USD_terrorist,delay_USD_conflict,lost_USD_conflict,revenue_USD_conflict,reroute_USD_conflict,war_premium_USD_conflict,shipping_price_USD_conflict,total_loss_USD_conflict,total_loss_USD,total_delay_USD,total_rerouting_USD,total_lost_USD,total_revenue_USD,total_war_premium_USD,total_shipping_price_USD
Panama Canal,BRA,0.1498952700103054,16142.56753957135,242138513.09357023,227559724.67779827,126257938.97021876,341339587.0166974,937311906.4757196,0.3568935000245366,82360.03846720075,1235400577.008011,1161019003.4581544,751535351.0132068,1741528505.1872315,4889565797.061965,0.7494763500515268,17295.608078112156,259434121.17168233,243813990.7262124,1262579389.7021875,365720986.08931863,2131565784.0469556,0.024732719551700387,47562.922214808445,713443833.2221265,670488474.4970841,10416279.965043047,1005732711.7456262,2400128862.3768272,0.11991621600824427,336687.83725391666,5050317558.80875,4746245686.136935,50503175.5880875,7119368529.205402,16966771637.696344,2.3983243201648863,55345.9458499589,830189187.7493834,780204770.3238796,1010063511.7617501,1170307155.4858193,3790819973.665007,0.11991621600824431,9224.324308326486,138364864.62489727,130034128.3873133,151509526.76426253,195051192.58096996,614968936.8016676,0.17130888001177755,13177.606154752117,197664092.3212818,185763040.55330467,577179149.5781429,278644560.829957,1239264021.06015,32970396919.18464,4.090463471831222,8145128818.760681,577796.8498666468,8666952747.999702,3940044323.3428993,12217693228.141022
Gibraltar Strait,BRA,,0.0,0.0,0.0,,0.0,0.0,0.039549753901870884,29662.315426403155,444934731.3960473,111434979.92164822,270668628.2659288,167152469.88247234,994220471.8210728,0.07909950780374177,5932.463085280631,88986946.27920946,22286995.98432964,433069805.22548604,33430493.97649446,577780174.0077044,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.039549753901870884,2966.2315426403156,44493473.13960473,11143497.99216482,54133725.653185755,16715246.98824723,126488910.04429494,0.007909950780374176,1977.4876950935438,29662315.426403154,7428998.661443215,32480235.391911454,11143497.992164822,80717024.96752769,0.01129992968624882,2824.9824215622057,42374736.32343307,10612855.230633162,123734230.06442456,15919282.845949743,192643929.45816204,1971850510.2987618,0.17740889607410654,162907327.79021907,43363.48017097985,650452202.5646976,914086624.6009365,244360991.6853286
Panama Canal,CAN,0.27971985277373723,30123.676452556312,451855146.78834474,377927393.1176097,235610183.68249404,566891089.6764145,1632313937.2210355,0.665999649461279,153692.22679875672,2305383401.98135,1928200985.2939267,1402441569.538655,2892301477.9408903,8528481127.64762,1.398599263868686,32275.36762773891,484130514.4160836,404922206.9117246,2356101836.82494,607383310.367587,3852570145.2865624,0.04615377570766664,88757.260976282,1331358914.6442301,1113536069.007243,19437840.15380576,1670304103.5108643,4134725684.623273,0.22377588221898978,628293.8231533174,9424407347.29976,7882485627.881574,94244073.4729976,11823728441.822361,29225493784.52362,4.475517644379796,103281.17640876451,1549217646.1314676,1295751062.117519,1884881469.4599524,1943626593.1762784,6673580056.537144,0.22377588221898978,17213.529401460753,258202941.0219113,215958510.35291982,282732220.4189929,323937765.5293797,1080848651.0763812,0.3196798317414139,24590.756287801072,368861344.31701607,308512157.6470283,1077075125.4056869,462768236.4705425,2217241454.9162416,57345254841.83187,7.633221782370558,13527294012.329546,1078227.8171066777,16173417256.600164,7352524318.957525,20290941018.494316
Gibraltar Strait,CAN,,0.0,0.0,0.0,,0.0,0.0,0.08041662064576538,60312.46548432402,904686982.2648604,230217459.03402078,550351247.5444568,345326188.5510312,2030642189.94027,0.16083324129153076,12062.493096864804,180937396.45297208,46043491.80680416,880561996.0711308,69065237.71020624,1176620184.6950433,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.08041662064576538,6031.246548432402,90468698.22648604,23021745.90340208,110070249.50889134,34532618.85510312,258099343.82084763,0.016083324129153077,4020.831032288269,60312465.48432403,15347830.602268055,66042149.70533482,23021745.903402083,164728212.54244462,0.022976177327361534,5744.044331840382,86160664.97760575,21925472.288954362,251589141.73460877,32888208.433431543,392569231.5019085,4022659162.5005136,0.3607259840395761,336555999.63544947,88171.08049374989,1322566207.4062483,1858614784.5644226,504833999.4531742
Suez Canal,CAN,0.0535677634609812,8332.76320504152,124991448.0756228,72846315.74994361,65174112.21086045,109269473.62491542,372289682.4781151,0.26783881730490594,110111.51378090578,1651672706.7135866,962612029.5528264,814676402.6357555,1443918044.3292396,4872989295.013028,0.26783881730490594,8927.960576830199,133919408.65245296,78049624.01779674,651741122.1086046,117074436.0266951,980793519.033965,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.04682496806029824,1560.832268676608,23412484.030149117,13645039.163950473,28485188.903348096,20467558.74592571,86011831.72246704,0.08639961848545355,9599.957609494839,143999364.14242253,83924326.9008567,157679303.73595268,125886490.35128506,511499085.17452604,0.10713552692196242,11903.9474357736,178559211.536604,104066165.35706232,521392897.68688375,156099248.03559348,960129426.6707149,7783712840.092817,0.8296055115385073,1315143500.7424362,150436.97487672252,2256554623.150838,2239149027.2814054,1972715251.1136541
Strait of Malacca,KOR,0.9998617028766602,139980.63840273244,2099709576.0409863,1411759633.9829001,1094848564.6499429,2117639450.9743502,6724097207.286444,1.5382487736564001,461474.63209692005,6922119481.453799,4654152639.5040655,4210956017.884395,6981228959.256098,22768918574.268707,1.9997234057533204,59991.70217259961,899875532.588994,605039843.1355284,4379394258.5997715,907559764.7032926,6791929392.729483,,0.0,0.0,0.0,,0.0,0.0,0.5713495445009487,2085425.837428463,31281387561.426933,21032337404.235043,312813875.6142694,31548506106.352562,84177130374.0376,7.998893623013282,239966.80869039844,3599502130.355976,2420159372.542114,4379394258.5997715,3630239058.8131704,14029534795.118618,0.38089969633396575,38089.96963339658,571349544.5009485,384152281.3558911,625627751.2285386,576228422.0338366,2157396089.4697475,0.7617993926679315,76179.93926679315,1142699089.001897,768304562.7117822,3336681339.88554,1152456844.0676732,6400218016.367958,143049224449.27856,14.250776138802507,31275905737.467323,3101109.5276913033,46516642915.36953,18339716066.462227,46913858606.20098
South China Sea,KOR,0.2669475076254682,46715.813834456945,700737207.5168539,396314315.3064406,365384401.0623595,594471472.9596609,2056954112.926097,1.334737538127341,500526.5767977528,7507898651.966291,4246224806.8547206,4567305013.279495,6369337210.282081,22691266210.294125,1.2012637843146068,45047.39191179776,675710878.6769662,382160232.6169248,3288459609.561236,573240348.9253873,4919616118.37369,,0.0,0.0,0.0,,0.0,0.0,0.3003159460786517,1370191.5039838485,20552872559.757725,11624040408.7648,205528725.59757724,17436060613.147198,49819872499.071594,3.696196259429559,138607.35972860846,2079110395.9291267,1175877638.821307,2529584315.0471044,1763816458.2319603,7548527419.0854225,0.2745745792719101,34321.822408988766,514827336.1348314,291169701.0414666,563735933.0676404,436754551.5621999,1806521843.9031217,0.4368231942962207,54602.89928702758,819043489.3054137,463224524.3841513,2391606988.771808,694836786.576227,4368766392.373711,93211524596.02774,7.510858809143757,18579011627.78981,2190013.367952481,32850200519.28721,13911604986.387222,27868517441.68471
Taiwan Strait,KOR,0.10912704755794958,30555.573316225888,458333599.74338835,167654976.06913918,238988234.1519096,251482464.10370877,1116489829.7505891,0.7275136503863305,436508.19023179833,6547622853.4769745,2395071086.7019877,3983137235.8651605,3592606630.0529814,16518874315.01485,0.7275136503863305,43650.81902317983,654762285.3476974,239507108.6701988,3186509788.6921277,359260663.0052982,4440083497.261859,,0.0,0.0,0.0,,0.0,0.0,0.1455027300772661,1062169.9295640425,15932548943.46064,5828006310.974838,159325489.4346064,8742009466.462257,30662952380.407406,1.455027300772661,87301.63804635966,1309524570.6953948,479014217.3403976,1593254894.3460639,718521326.0105964,4100402311.485526,0.1455027300772661,29100.546015453216,436508190.2317983,159671405.7801325,477976468.3038192,239507108.67019874,1313692273.6774669,0.21825409511589916,43650.819023179836,654762285.3476976,239507108.6701988,1911905873.2152767,359260663.0052982,3165479581.2757487,61317974188.87345,3.528441204373703,9508432214.206892,1732937.5152202393,25994062728.303596,11551097984.008965,14262648321.310339
Suez Canal,KOR,0.11199565060312545,17421.545649375075,261323184.74062613,147346001.53070775,136261374.90046933,221019002.29606164,765966985.1255099,0.5599782530156273,230213.2817953134,3453199226.9297013,1947072163.0843523,1703267186.2558663,2920608244.6265283,10024377034.738222,0.5599782530156273,18665.941767187578,279989126.50781363,157870715.9257583,1362613749.0046933,236806073.88863745,2037298331.828648,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.09789829598175301,3263.2765327251,48949147.9908765,27599775.511496205,59554796.72223309,41399663.26724431,177506646.86628112,0.18063814613407334,20070.905126008147,301063576.8901222,169753457.98468637,329664616.6946838,254630186.97702956,1055131909.6322861,0.223991301206251,24887.922356250107,373318835.34375155,210494287.90101108,1090090999.203755,315741431.8515166,1989670442.4463816,16049951350.63733,1.7344798999564575,2660136401.9380116,314522.8732268594,4717843098.402892,4681452722.7817,3990204602.9070177
Strait of Malacca,AUS,0.2142886645693712,30000.413039711977,450006195.5956796,318932076.7006049,234646087.7034615,478398115.0509074,1482012475.6779819,0.3296748685682634,98902.46057047902,1483536908.5571854,1051424428.6833129,902484952.7056211,1577136643.0249693,5014681835.761334,0.4285773291387424,12857.319874162275,192859798.1124341,136685175.7288307,938584350.813846,205027763.59324604,1473169945.9968083,,0.0,0.0,0.0,,0.0,0.0,0.12245066546821212,446944.92895897425,6704173934.384614,4751437061.049829,67041739.34384614,7127155591.574743,18650255271.40444,1.7143093165549697,51429.2794966491,771439192.4497364,546740702.9153228,938584350.813846,820111054.3729842,3076926731.5456953,0.08163377697880808,8163.377697880808,122450665.46821211,86784238.55798773,134083478.68769227,130176357.8369816,473502904.0102054,0.16326755395761616,16326.755395761616,244901330.93642423,173568477.11597547,715111886.3343588,260352715.6739632,1393950736.979385,31564499901.37585,3.0542021752359827,7065572160.7518635,664624.5350336189,9969368025.504286,3930536846.402672,10598358241.127794
South China Sea,AUS,0.06855723927187876,11997.516872578786,179962753.08868176,100376162.76065147,93837721.25338405,150564244.1409772,524752878.82912433,0.3427861963593939,128544.82363477268,1928172354.5215902,1075458886.7212656,1172971515.6673007,1613188330.0818982,5789919632.158476,0.30850757672345447,11569.034127129542,173535511.9069431,96791299.80491388,844539491.2804565,145186949.70737082,1260064822.042319,,0.0,0.0,0.0,,0.0,0.0,0.07712689418086362,351891.4547001903,5278371820.502853,2944068702.3994646,52783718.205028534,4416103053.599197,12691679186.23837,0.9492540822260137,35597.02808347551,533955421.2521326,297819384.0151197,649645762.5234281,446729076.0226795,1928185241.7906973,0.07051601753678959,8814.5021920987,132217532.88148046,73745752.23231535,144778198.50522113,110618628.34847301,461368926.540198,0.11218457335398345,14023.071669247931,210346075.03871894,117322787.64231987,614210539.1130593,175984181.46347982,1117877606.4414318,23773848294.040623,1.9289325796523775,4705582975.57605,562437.4312794934,8436561469.192401,3572766946.5478783,7058374463.364076
Taiwan Strait,AUS,0.03158488943072201,8843.769040602163,132656535.6090325,40451794.48133787,69170907.85328123,60677691.7220068,302965773.4662839,0.21056592953814673,126339.55772288804,1895093365.8433208,577882778.3048265,1152848464.2213535,866824167.4572397,4492775115.59503,0.21056592953814673,12633.955772288804,189509336.58433208,57788277.83048264,922278771.377083,86682416.74572396,1256271436.70396,,0.0,0.0,0.0,,0.0,0.0,0.042113185907629344,307426.25712569425,4611393856.885414,1406181427.2084112,46113938.568854146,2109272140.8126168,8173268789.774536,0.42113185907629347,25267.911544577608,379018673.16866416,115576555.66096528,461139385.6885415,173364833.49144793,1129124716.3422952,0.042113185907629344,8422.637181525872,126339557.72288805,38525518.5536551,138341815.70656243,57788277.830482654,361003592.49288297,0.06316977886144402,12633.955772288804,189509336.5843321,57788277.830482654,553367262.8262498,86682416.74572398,887359928.0057306,16602769352.380718,1.0212447582600117,2294194629.870161,501568.04415986553,7523520662.3979845,3343260546.2419257,3441291944.805242
Suez Canal,ESP,0.10886419340962714,16934.430085942,254016451.28912997,140700801.37390408,132451435.31504636,211051202.0608561,738236824.5778866,0.5443209670481356,223776.39756423357,3356645963.4635034,1859260589.5837324,1655642941.438079,2788890884.3755984,9660664155.802797,0.5443209670481357,18144.032234937855,272160483.5240678,150750858.61489722,1324514353.1504636,226126287.92234582,1973570127.7883303,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.09516100822519855,3172.0336075066175,47580504.11259926,26355045.212394617,57889613.33699577,39532567.81859192,171360902.6093501,0.17558740872520506,19509.712080578334,292645681.2086751,162097697.43537337,320447020.92349917,243146546.15306005,1018356455.6082758,0.2177283868192543,24192.042979917143,362880644.6987571,201001144.81986296,1059611482.520371,301501717.22979444,1925019181.5294938,15487207647.916134,1.6859829312755563,2540166137.0401645,305728.64855311555,4585929728.296732,4550556846.684455,3810249205.560247
Gibraltar Strait,ESP,,0.0,0.0,0.0,,0.0,0.0,0.11747352576962436,88105.14432721827,1321577164.9082737,361111136.7164072,803959441.9858665,541666705.0746107,3028402553.946959,0.23494705153924872,17621.02886544365,264315432.98165473,72222227.34328143,1286335107.1773865,108333341.01492214,1731223729.7810574,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.11747352576962436,8810.514432721826,132157716.49082737,36111113.67164072,160791888.39717332,54166670.50746107,383236199.6990087,0.023494705153924874,5873.676288481217,88105144.32721825,24074075.78109381,96475133.038304,36111113.67164072,244771340.51803997,0.03356386450560696,8390.96612640174,125864491.89602607,34391536.83013402,367524316.3363961,51587305.24520103,579376041.3074474,5967009865.252512,0.5269526727380294,527910090.3425572,128801.33004026671,1932019950.604,2715085886.9351263,791865135.5138357
Bosporus Strait,ESP,0.0796975543840029,22315.315227520812,334729728.4128122,101837243.14581749,174537644.1009664,152755864.71872622,763882795.7732472,0.2344045717176556,140642.74303059338,2109641145.4589005,641831364.3643959,1283365030.1541646,962747046.5465938,4997725229.50149,0.26565851461334294,15939.510876800581,239092663.15200868,72740887.96129818,1163584294.0064425,109111331.94194728,1584545116.8382318,,0.0,0.0,0.0,,0.0,0.0,0.03984877719200145,290896.0735016106,4363441102.524159,1327521205.2936924,43634411.0252416,1991281807.9405384,7726169422.896982,0.1593951087680058,9563.70652608035,143455597.89120522,43644532.77677892,174537644.1009664,65466799.16516838,427114137.8000401,0.06375804350720234,12751.608701440466,191274130.52160698,58192710.36903856,209445172.92115968,87289065.55355784,546213831.0378226,0.13282925730667153,26565.851461334303,398487771.9200146,121234813.26883033,1163584294.0064428,181852219.9032455,1865185665.0828238,17910836198.930637,0.9755918274888826,2367002757.1798515,518674.8093253805,7780122139.880707,4212688490.3153844,3550504135.7697773
Oresund Strait,ESP,,0.0,0.0,0.0,,0.0,0.0,0.009877075128428586,14815.612692642877,222234190.38964316,28595218.908059277,135192465.82036626,42892828.36208892,428929519.10272735,0.019754150256857173,2963.122538528575,44446838.07792863,5719043.781611856,216307945.31258604,8578565.672417784,275055355.98683697,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,703984875.0895643,0.02963122538528576,34314262.68967113,17778.735231171453,266681028.4675718,351500411.13295233,51471394.0345067
Panama Canal,MEX,0.3422103526595886,36853.42259410955,552801338.9116431,492275099.1427841,288246412.43249965,738412648.7141762,2071772352.9659076,0.8147865539514014,188027.66629647723,2820414994.4471583,2511607648.687673,1715752454.955355,3767411473.0315094,10815374599.60278,1.711051763297943,39485.809922260225,592287148.8339033,527437606.2244114,2882464124.3249965,791156409.3366171,4793384776.240903,0.056464708188832126,108585.97728621562,1628789659.2932343,1450453417.1171317,23780329.025681224,2175680125.6756973,5278812117.145494,0.2737682821276709,768657.0998199991,11529856497.299986,10267452067.83521,115298564.97299986,15401178101.752815,37314553889.2346,5.475365642553418,126354.5917512327,1895318876.2684908,1687800339.9181166,2305971299.459997,2531700509.877175,8420917385.590897,0.27376828212767096,21059.098625205454,315886479.3780818,281300056.6530195,345895694.9189996,421950084.97952926,1365053375.302024,0.39109754589667267,30084.426607436355,451266399.1115454,401857223.7900278,1317697885.4057126,602785835.6850417,2773637428.810032,72833505924.89262,9.338513130803197,17620183459.368374,1319108.0929029363,19786621393.544044,8995106765.496243,26430275189.052563
Gibraltar Strait,MEX,,0.0,0.0,0.0,,0.0,0.0,0.08910017625309519,66825.13218982138,1002376982.8473207,265815135.7201201,609779331.2321202,398722703.58018017,2276760978.6010313,0.17820035250619037,13365.026437964276,200475396.56946415,53163027.14402402,975646929.9713922,79744540.71603604,1309043259.6055548,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.08910017625309519,6682.513218982138,100237698.28473207,26581513.57201201,121955866.24642402,39872270.35801802,288654031.0635053,0.017820035250619037,4455.008812654759,66825132.18982139,17721009.04800801,73173519.74785441,26581513.572012015,184305629.5843285,0.025457193215170048,6364.298303792513,95464474.55688767,25315727.21144001,278756265.706112,37973590.81716002,437516422.61536074,4496280321.46978,0.3996779334781698,388596412.6956042,97691.97896321508,1465379684.448226,2059311912.9039025,582894619.0434062
Suez Canal,MEX,0.03679383326647968,5723.485174785728,85852277.6217859,53708272.653959624,44765830.47421693,80562408.98093943,264894513.2528705,0.18396916633239838,75631.76838109712,1134476525.7164564,709716460.0701805,559572880.9277116,1064574690.1052709,3468416188.77197,0.18396916633239838,6132.30554441328,91984583.16619918,57544577.84352815,447658304.7421693,86316866.76529223,683510465.0067024,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.03216244166650321,1072.08138888344,16081220.8332516,10060240.881735688,19565485.34712278,15090361.322603531,60798380.49826492,0.059344892365289795,6593.876929476643,98908153.94214964,61875890.15433134,108304428.56665386,92813835.23149702,361908901.8309063,0.07358766653295937,8176.407392551038,122646110.88826557,76726103.79137088,358126643.7937355,115089155.68705633,672596190.6414084,5512124640.002123,0.5698271664960288,969631545.3951062,103329.92481120725,1549948872.1681085,1537993573.85161,1454447318.0926592
Strait of Malacca,IDN,0.33280696476477667,46592.97506706874,698894626.006031,471639924.5477582,364423626.4174304,707459886.8216374,2242464657.100731,0.5120107150227332,153603.21450682,2304048217.602299,1554856894.1134882,1401629332.3747323,2332285341.1702323,7592973388.98727,0.6656139295295533,19968.4178858866,299526268.28829896,202131396.2347535,1457694505.6697216,303197094.35213023,2262569233.628404,,0.0,0.0,0.0,,0.0,0.0,0.19017540843701522,694140.2407951056,10412103611.926582,7026472345.303336,104121036.11926582,10539708517.955004,28083099651.73516,2.6624557181182134,79873.6715435464,1198105073.1531959,808525584.939014,1457694505.6697216,1212788377.408521,4677193417.504452,0.1267836056246768,12678.360562467682,190175408.43701524,128337394.4347641,208242072.23853165,192506091.65214616,719273645.2498033,0.2535672112493536,25356.721124935364,380350816.8740305,256674788.8695282,1110624385.2721689,385012183.3042923,2132687531.294712,47710261525.500534,4.743413552746322,10448638328.442644,1032213.6014858303,15483204022.287455,6104429463.761572,15672957492.663963
South China Sea,IDN,0.08907583994009183,15588.271989516074,233824079.84274104,124551430.4258812,121922555.9180007,186827145.6388218,667140800.1865101,0.44537919970045914,167017.19988767218,2505257998.3150826,1334479611.70587,1524031948.975009,2001719417.558805,7365655994.200033,0.4008412797304133,15031.547989890496,225473219.8483574,120103165.05352826,1097303003.2620063,180154747.5802924,1623049167.6930156,,0.0,0.0,0.0,,0.0,0.0,0.10021031993260332,457209.5846925026,6858143770.387539,3653137937.044819,68581437.7038754,5479706905.567228,16060027260.388363,1.2333577837858867,46250.91689197075,693763753.3795612,369548200.1647024,844079233.2784663,554322300.2470536,2461759739.220033,0.09162086393838018,11452.607992297522,171789119.88446283,91507173.37411678,188109086.27348676,137260760.06117517,588677592.2928548,0.14576046535651394,18220.058169564236,273300872.5434635,145579594.00427672,798038547.8269137,218369391.00641507,1435306625.584999,30201617179.565807,2.5062457523843484,5838907111.773194,730770.1876134139,10961552814.201204,4642065813.237759,8758360667.659792
Taiwan Strait,IDN,0.03041102588844048,8515.087248763335,127726308.73145,41958441.693183176,66600146.69568464,62937662.53977476,299231074.7777524,0.20274017258960317,121644.1035537619,1824661553.3064284,599406309.9026167,1110002444.9280772,899109464.8539251,4433301417.297341,0.20274017258960317,12164.410355376189,182466155.33064282,59940630.990261674,888001955.9424617,89910946.48539251,1220331853.3618543,,0.0,0.0,0.0,,0.0,0.0,0.04054803451792063,296000.65198082064,4440009779.712309,1458555354.0963676,44400097.79712309,2187833031.1445513,8131094263.44288,0.40548034517920634,24328.820710752378,364932310.66128564,119881261.98052335,444000977.97123086,179821892.97078502,1108660772.8100162,0.04054803451792063,8109.606903584127,121644103.5537619,39960420.66017445,133200293.39136928,59940630.990261674,354753558.2430189,0.06082205177688096,12164.41035537619,182466155.33064285,59940630.990261674,532801173.56547713,89910946.48539251,865131070.8429515,16412504010.775816,0.9832898370595753,2379643050.3133883,482927.0911084348,7243906366.626519,3219007090.291424,3569464575.4700828
Korea Strait,IDN,0.00976640455635509,4557.655459632377,68364831.89448564,12600708.911777552,35647376.63069608,18901063.367666326,135518538.46985164,0.03662401708633159,36624.01708633159,549360256.2949739,101255696.61249816,334194155.91277575,151883544.91874725,1136730277.7927053,0.04883202278177545,4883.202278177544,73248034.17266317,13500759.548333088,356473766.3069608,20251139.322499633,463478582.6015669,,0.0,0.0,0.0,,0.0,0.0,0.008138670463629242,99020.49064082243,1485307359.6123366,273765401.95230985,14853073.596123368,410648102.9284648,2184672958.588014,0.08138670463629243,8138.670463629242,122080056.95443863,22501265.913888484,148530735.96123368,33751898.87083273,326872096.45224386,0.007324803417266319,2441.601139088773,36624017.08633159,6750379.774166544,40103298.70953309,10125569.661249816,93605706.83974493,0.011719685467626112,3906.5618225420367,58598427.33813055,10800607.638666473,171107407.82734123,16200911.45799971,256711260.8356802,4597589421.579806,0.20379230840927626,441174820.3516401,159572.198890224,2393582983.3533597,1100909814.944664,661762230.5274601
Suez Canal,NLD,0.16229171247842517,25245.377496643905,378680662.4496587,233407115.65808308,197454916.84875056,350110673.4871246,1159678613.9834054,0.8114585623921257,333599.6312056517,5003994468.084775,3084308314.0532403,2468186460.6093826,4626462471.079861,15183285314.269922,0.8114585623921258,27048.618746404183,405729281.19606286,250079052.49080324,1974549168.487506,375118578.73620486,3005503130.340782,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.14186338503358836,4728.779501119612,70931692.51679417,43720114.07181874,86300225.89543293,65580171.10772811,266536932.51313847,0.261760826578105,29084.536286456118,436268044.29684174,268902206.9793584,477713508.5050417,403353310.46903753,1586266155.0483265,0.3245834249568504,36064.82499520558,540972374.9280838,333438736.6544044,1579639334.790005,500158104.9816066,2954244616.5036783,24155514762.65925,2.5134164738312204,4213855539.907708,455771.7682314811,6836576523.472216,6783843615.136118,6320783309.861562
Gibraltar Strait,NLD,,0.0,0.0,0.0,,0.0,0.0,0.16435097816300928,123263.23362225696,1848948504.3338542,493898095.374899,1124777006.8030946,740847143.0623486,4208594012.97217,0.32870195632601856,24652.64672445139,369789700.8667708,98779619.0749798,1799643210.8849516,148169428.6124697,2416406612.4145985,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.16435097816300928,12326.323362225696,184894850.4333854,49389809.5374899,224955401.36061895,74084714.30623485,533337102.12544227,0.032870195632601865,8217.548908150464,123263233.62225695,32926539.691659935,134973240.81637138,49389809.537489906,340561041.24955654,0.04695742233228836,11739.35558307209,176090333.74608135,47037913.84522848,514183774.5385575,70556870.76784271,807880632.3002505,8306779401.062017,0.7372315306169274,722031977.5242571,180199.1082001566,2702986623.0023484,3798532634.4035945,1083047966.2863858
Bosporus Strait,NLD,0.1720642077720647,48177.97817617812,722669672.6426718,228811297.3682269,376820615.02082175,343216946.0523403,1671566709.234301,0.506071199329602,303642.7195977613,4554640793.966418,1442088008.6232784,2770739816.3295717,2163132012.9349174,10930904275.079855,0.5735473592402156,34412.84155441293,516192623.31619406,163436640.97730488,2512137433.4721446,245154961.4659573,3436956072.6467023,,0.0,0.0,0.0,,0.0,0.0,0.08603210388603234,628034.3583680362,9420515375.520544,2982718697.8358145,94205153.75520544,4474078046.753721,16972145308.309685,0.3441284155441294,20647.704932647768,309715573.9897165,98061984.58638293,376820615.02082175,147092976.8795744,931711798.5255567,0.13765136621765178,27530.273243530355,412954098.65295535,130749312.7818439,452184738.02498615,196123969.17276585,1192039649.043446,0.2867736796201079,57354.735924021574,860321038.8603235,272394401.62884146,2512137433.472145,408591602.4432622,4053501831.42727,39188825644.266815,2.1062683316098036,5318260343.801693,1119800.6117965882,16797009176.948822,9095045805.095697,7977390515.7025385
Oresund Strait,NLD,,0.0,0.0,0.0,,0.0,0.0,0.017830229841633426,26745.344762450135,401180171.436752,56224610.84680846,244051270.95735753,84336916.2702127,785819714.8737233,0.03566045968326685,5349.068952490027,80236034.2873504,11244922.169361692,390482033.531772,16867383.254042536,498835722.3471396,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1284655437.2208629,0.05349068952490028,67469533.01617016,32094.41371494016,481416205.72410244,634533304.4891295,101204299.52425523
Strait of Hormuz,SAU,0.1315202289436574,23016.04006514005,345240600.9771007,168550324.7711369,180018313.36663103,252825487.15670538,946657742.4431593,0.5786890073520925,267643.66590034275,4014654988.5051413,1959999490.9100778,1980201447.0329416,2939999236.3651166,10895122807.057867,0.6839051905070185,25646.444644013194,384696669.6601979,187813219.03069544,1872190459.0129633,281719828.54604316,2726445823.3784494,,0.0,0.0,0.0,,0.0,0.0,0.10057429272162036,458870.2105423929,6883053158.135894,3360383575.794306,68830531.58135894,5040575363.691459,15353301499.514133,0.8548814881337731,32058.055805016495,480870837.07524735,234766523.7883693,585059518.441551,352149785.68255395,1652878723.8984082,0.17097629762675462,21372.037203344327,320580558.0501649,156511015.8589129,351035711.0649306,234766523.78836933,1062915180.9705573,0.42744074406688654,53430.093008360825,801451395.1254123,391277539.6472821,2340238073.766204,586916309.4709232,4119936748.5302706,36757258525.79285,2.9479872493518027,6459301689.800779,882036.5471686106,13230548207.529158,7377574054.26658,9688952534.70117
